SKU,URL,Product_Name,Variation_name
1159598328, https://shopee.co.id/SUSU ANMUM ESSENTIAL 3 VANILLA FORMULA 750 GR MURAH DISKON ANAK 13 tahun VANILA  SUFOR-i.4283204.1159598328, SUSU ANMUM ESSENTIAL 3 VANILLA FORMULA 750 GR MURAH DISKON ANAK 13 tahun VANILA  SUFOR, 
983928213, https://shopee.co.id/SUSU ANMUM ESSENTIAL 3 IMPORT VANILLA FORMULA 500 GRAM 500GR KOTAK BOX TODDLER 1 TAHUN + ANAK-i.4283204.983928213, SUSU ANMUM ESSENTIAL 3 IMPORT VANILLA FORMULA 500 GRAM 500GR KOTAK BOX TODDLER 1 TAHUN + ANAK, 
745244908, https://shopee.co.id/S 26 Promil Gold Tahap 1 Susu Formula 0 6 Bulan Tin 900g   900 g Best-i.17277791.745244908, S 26 Promil Gold Tahap 1 Susu Formula 0 6 Bulan Tin 900g   900 g Best, 
635051279, https://shopee.co.id/Wyeth S26 Promise Tahap 4 Susu Formula 700 gram-i.8331897.635051279, Wyeth S26 Promise Tahap 4 Susu Formula 700 gram, 
317616728, https://shopee.co.id/Vidoran  | Susu formula 06 bulan | Vidoran my baby milk-i.20213223.317616728, Vidoran  | Susu formula 06 bulan | Vidoran my baby milk, 
1549089111, https://shopee.co.id/Enfamil A+ Premature Susu Formula Bayi Prematur 400g-i.2861486.1549089111, Enfamil A+ Premature Susu Formula Bayi Prematur 400g, 
49055843_956983700, https://shopee.co.id/Susu formula sustagen kid 3+ madu 800 gram / Toko Makmur Online-i.8503335.49055843, Susu formula sustagen kid 3+ madu 800 gram / Toko Makmur Online Sususaja, Sususaja
49055843_956983701, https://shopee.co.id/Susu formula sustagen kid 3+ madu 800 gram / Toko Makmur Online-i.8503335.49055843, Susu formula sustagen kid 3+ madu 800 gram / Toko Makmur Online Susu+bubble, Susu+bubble
1165647008_1525041465, 2018-12-05 21:35:44, Chil School Gold  Susu Formula  Vanila  800g /Chilschool Mor, Jul2019
1165647008_1900818238, 2018-12-05 21:35:44, Chil School Gold  Susu Formula  Vanila  800g /Chilschool Mor, Jul2019+bubble
1690496129, https://shopee.co.id/Nestle Nan PHPRO 1 Susu Formula NAN PH Pro 1 Usia 0 6Bulan Kaleng 400g Berkualitas-i.72818550.1690496129, Nestle Nan PHPRO 1 Susu Formula NAN PH Pro 1 Usia 0 6Bulan Kaleng 400g Berkualitas, 
246547697, https://shopee.co.id/Nutribaby Royal Allerpre 2 400 gr Susu Formula Bayi-i.10205999.246547697, Nutribaby Royal Allerpre 2 400 gr Susu Formula Bayi, 
1168147935_1663292668, https://shopee.co.id/Chil Kid Gold  Susu Formula  Madu  800g /Chilkid Morinaga-i.69700622.1168147935, Chil Kid Gold  Susu Formula  Madu  800g /Chilkid Morinaga Sep2019+bubble, Sep2019+bubble
1168147935_1969605515, https://shopee.co.id/Chil Kid Gold  Susu Formula  Madu  800g /Chilkid Morinaga-i.69700622.1168147935, Chil Kid Gold  Susu Formula  Madu  800g /Chilkid Morinaga Sep2019, Sep2019
594947395, https://shopee.co.id/Nutribaby Royal Allerpre 1 400 gr Susu Formula Bayi Khusus-i.10205999.594947395, Nutribaby Royal Allerpre 1 400 gr Susu Formula Bayi Khusus, 
1638234438, https://shopee.co.id/Morinaga Chil Mil Platinum Susu Formula Lanjutan Tin 800G / 800 G-i.31759258.1638234438, Morinaga Chil Mil Platinum Susu Formula Lanjutan Tin 800G / 800 G, 
1583204326, https://shopee.co.id/Berkualitas MORINAGA CHIL MIL PHP Susu Formula Lanjutan Tin 800g   800 g Terkece-i.92547783.1583204326, Berkualitas MORINAGA CHIL MIL PHP Susu Formula Lanjutan Tin 800g   800 g Terkece, 
